ticker,quarter,sector,index,z_Q,s_star,above_threshold,Q_raw,delta_Q,extreme_event,extreme_threshold_90
A,CY2021Q1,Unknown,SP500,0.190654,5.977971,0,0.141639,,0,
AAPL,CY2021Q1,Unknown,SP500,1.923279,5.977971,0,0.263775,,0,
ABBV,CY2021Q1,Unknown,SP500,2.055533,5.977971,0,0.273098,,0,
ABNB,CY2021Q1,Unknown,SP500,-7.985442,5.977971,0,-1.321308,,0,
ABT,CY2021Q1,Unknown,SP500,0.613983,5.977971,0,0.17148,,0,
ACGL,CY2021Q1,Unknown,SP500,0.923405,5.977971,0,0.193292,,0,
ACN,CY2021Q1,Unknown,SP500,-0.127544,5.977971,0,0.119209,,0,
ADBE,CY2021Q1,Unknown,SP500,2.762309,5.977971,0,0.322919,,0,
ADI,CY2021Q1,Unknown,SP500,1.794059,5.977971,0,0.254666,,0,
ADM,CY2021Q1,Unknown,SP500,-1.30131,5.977971,0,0.036469,,0,
ADP,CY2021Q1,Unknown,SP500,0.986055,5.977971,0,0.197708,,0,
ADSK,CY2021Q1,Unknown,SP500,0.418989,5.977971,0,0.157735,,0,
AEE,CY2021Q1,Unknown,SP500,0.310165,5.977971,0,0.150064,,0,
AES,CY2021Q1,Unknown,SP500,-2.615446,5.977971,0,-0.056167,,0,
AFL,CY2021Q1,Unknown,SP500,1.306685,5.977971,0,0.22031,,0,
AIG,CY2021Q1,Unknown,SP500,1.985503,5.977971,0,0.268161,,0,
AIZ,CY2021Q1,Unknown,SP500,-0.868251,5.977971,0,0.066995,,0,
AJG,CY2021Q1,Unknown,SP500,0.684388,5.977971,0,0.176443,,0,
AKAM,CY2021Q1,Unknown,SP500,0.806529,5.977971,0,0.185053,,0,
ALB,CY2021Q1,Unknown,SP500,-0.175875,5.977971,0,0.115802,,0,
ALGN,CY2021Q1,Unknown,SP500,1.351422,5.977971,0,0.223464,,0,
ALL,CY2021Q1,Unknown,SP500,-3.392104,5.977971,0,-0.110915,,0,
ALLE,CY2021Q1,Unknown,SP500,0.388979,5.977971,0,0.15562,,0,
AMAT,CY2021Q1,Unknown,SP500,1.561407,5.977971,0,0.238266,,0,
AMCR,CY2021Q1,Unknown,SP500,-0.637587,5.977971,0,0.083255,,0,
