ticker,quarter,sector,v12_flag,raw_margin,delta_Q_abs,extreme_event
ADAM,CY2023Q1,Real Estate,1,1.188814,2.117029,1
ADEA,CY2023Q1,Information Technology,1,0.247394,0.466422,1
ALB,CY2023Q1,Materials,1,0.960046,0.527976,1
APLS,CY2023Q1,Health Care,1,-3.964189,10.684446,1
ARR,CY2023Q1,Real Estate,1,-2.812904,5.018343,1
BANC,CY2023Q1,Financials,1,-4.062799,4.335918,1
BHF,CY2023Q1,Financials,1,-0.408879,0.754998,1
BXMT,CY2023Q1,Real Estate,1,0.71644,21.65039,1
CHRD,CY2023Q1,Utilities,1,0.536183,0.164417,0
CLSK,CY2023Q1,Information Technology,1,-0.433883,0.609684,1
CNX,CY2023Q1,Energy,1,0.556746,0.160848,0
CRGY,CY2023Q1,Utilities,1,0.764955,0.633625,1
CYTK,CY2023Q1,Health Care,1,-28.460655,41.73863,1
EXE,CY2023Q1,Utilities,1,0.412166,0.439264,1
FR,CY2023Q1,Real Estate,1,0.748794,0.384596,1
GE,CY2023Q1,Industrials,1,0.508077,0.383285,1
GEN,CY2023Q1,Information Technology,1,0.971922,0.79564,1
GIII,CY2023Q1,Consumer Discretionary,1,-0.305604,0.362271,1
HOOD,CY2023Q1,Financials,1,-1.15873,0.721888,1
HRB,CY2023Q1,Consumer Discretionary,1,0.307324,1.650908,1
INSW,CY2023Q1,Utilities,1,0.601236,0.044703,0
LNC,CY2023Q1,Financials,1,-0.238332,0.448434,1
MARA,CY2023Q1,Information Technology,1,2.321423,16.101836,1
MO,CY2023Q1,Consumer Staples,1,0.375184,0.154031,0
MSA,CY2023Q1,Consumer Discretionary,1,-0.377071,0.493232,1
MU,CY2023Q1,Information Technology,1,-0.626049,0.578314,1
PRAA,CY2023Q1,Consumer Discretionary,1,-0.377108,0.448721,1
RCUS,CY2023Q1,Health Care,1,-3.2,1.229412,1
RIG,CY2023Q1,Real Estate,1,-0.716487,0.138929,0
RRC,CY2023Q1,Energy,1,0.588283,0.103061,0
RUN,CY2023Q1,Industrials,1,-0.407542,0.510999,1
SCHL,CY2023Q1,Publishing,1,-0.059095,0.187178,0
SDGR,CY2023Q1,Health Care,1,1.993393,2.472027,1
SPHR,CY2023Q1,Communication Services,1,-0.350773,0.774388,1
SXI,CY2023Q1,Industrials,1,0.436766,0.330035,1
TGTX,CY2023Q1,Health Care,1,-5.02781,657.39719,1
TTWO,CY2023Q1,Communication Services,1,-0.422002,0.313038,1
TWO,CY2023Q1,Real Estate,1,-1.159937,1.986005,1
VSAT,CY2023Q1,Communication Services,1,1.796787,1.861609,1
VVV,CY2023Q1,Consumer Discretionary,1,3.562554,3.316461,1
WINA,CY2023Q1,Consumer Discretionary,1,0.435728,0.045989,0
XNCR,CY2023Q1,Health Care,1,-3.204462,2.64722,1
A,CY2023Q1,Health Care,0,0.200456,0.001429,0
AA,CY2023Q1,Materials,0,0.091703,0.040088,0
AAL,CY2023Q1,Industrials,0,0.00082,0.060068,0
AAMI,CY2023Q1,Financials,0,0.130719,0.11704,0
AAON,CY2023Q1,Industrials,0,0.138423,0.014359,0
AAPL,CY2023Q1,Information Technology,0,0.254756,0.001301,0
AAT,CY2023Q1,Real Estate,0,0.149749,0.058909,0
ABBV,CY2023Q1,Health Care,0,0.01955,0.143997,0
ABCB,CY2023Q1,Financials,0,0.277195,0.074112,0
ABG,CY2023Q1,Consumer Discretionary,0,0.050638,0.04467,0
ABM,CY2023Q1,Industrials,0,0.019334,0.004981,0
ABNB,CY2023Q1,Consumer Discretionary,0,0.064356,0.103362,0
ABR,CY2023Q1,Real Estate,0,0.495109,0.00245,0
ABT,CY2023Q1,Health Care,0,0.135221,0.032853,0
ACA,CY2023Q1,Industrials,0,0.10142,0.207594,0
ACAD,CY2023Q1,Health Care,0,-0.363163,0.057463,0
ACGL,CY2023Q1,Financials,0,0.222538,0.053919,0
ACHC,CY2023Q1,Health Care,0,0.093736,0.003221,0
ACI,CY2023Q1,Consumer Discretionary,0,0.017032,0.003651,0
ACIW,CY2023Q1,Information Technology,0,-0.111532,0.311237,1
ACLS,CY2023Q1,Materials,0,0.187769,0.026446,0
ACM,CY2023Q1,Industrials,0,0.021952,0.004049,0
ACMR,CY2023Q1,Materials,0,0.096221,0.012575,0
ACN,CY2023Q1,Information Technology,0,0.096347,0.028429,0
ACT,CY2023Q1,Financials,0,0.626428,0.106976,0
ADBE,CY2023Q1,Information Technology,0,0.267884,0.007994,0
ADC,CY2023Q1,Real Estate,0,0.642634,0.043819,0
ADI,CY2023Q1,Information Technology,0,0.295872,0.0076,0
ADMA,CY2023Q1,Health Care,0,-0.119285,0.125439,0
ADNT,CY2023Q1,Consumer Discretionary,0,-0.003834,0.007078,0
ADP,CY2023Q1,Information Technology,0,0.211677,0.026502,0
ADSK,CY2023Q1,Information Technology,0,0.222307,0.067619,0
ADT,CY2023Q1,Consumer Discretionary,0,-0.04858,0.181292,0
ADUS,CY2023Q1,Health Care,0,0.050378,0.009375,0
AEE,CY2023Q1,Utilities,0,0.128031,0.048363,0
AEIS,CY2023Q1,Information Technology,0,0.072748,0.016392,0
AEO,CY2023Q1,Consumer Discretionary,0,1.0,0.0,0
AEP,CY2023Q1,Utilities,0,0.084632,0.0059,0
AES,CY2023Q1,Energy,0,0.115776,0.213325,0
AESI,CY2023Q1,Utilities,0,0.011302,1.436707,1
AFG,CY2023Q1,Financials,0,0.121839,0.02124,0
AFL,CY2023Q1,Financials,0,0.2475,0.197855,0
AGCO,CY2023Q1,Industrials,0,0.069777,0.012862,0
AGO,CY2023Q1,Financials,0,0.286219,0.035699,0
AGX,CY2023Q1,Industrials,0,0.114777,0.048962,0
AGYS,CY2023Q1,Information Technology,0,0.068359,0.000411,0
AHCO,CY2023Q1,Health Care,0,0.021094,0.024411,0
AHR,CY2023Q1,Real Estate,0,-0.05721,0.047811,0
AIG,CY2023Q1,Financials,0,0.002094,0.19372,0
AIN,CY2023Q1,Industrials,0,0.099923,0.032472,0
AIR,CY2023Q1,Industrials,0,0.041835,0.006058,0
AIT,CY2023Q1,Industrials,0,0.085852,0.009969,0
AIZ,CY2023Q1,Financials,0,0.042985,0.017314,0
AJG,CY2023Q1,Financials,0,0.179779,0.112974,0
AKAM,CY2023Q1,Information Technology,0,0.106046,0.084536,0
AKR,CY2023Q1,Consumer Discretionary,0,0.163247,0.113829,0
AL,CY2023Q1,Industrials,0,0.191486,0.048828,0
ALG,CY2023Q1,Industrials,0,0.080989,0.00555,0
ALGM,CY2023Q1,Information Technology,0,0.230017,0.029315,0
ALGN,CY2023Q1,Health Care,0,0.09309,0.046752,0
ALGT,CY2023Q1,Industrials,0,0.086425,0.000618,0
ALK,CY2023Q1,Industrials,0,-0.064663,0.073538,0
ALKS,CY2023Q1,Health Care,0,-0.1455,0.052765,0
ALL,CY2023Q1,Financials,0,-0.025098,0.002897,0
ALLY,CY2023Q1,Financials,0,0.175937,0.029239,0
ALRM,CY2023Q1,Information Technology,0,0.068741,0.018148,0
ALV,CY2023Q1,Consumer Discretionary,0,0.029683,0.037126,0
AM,CY2023Q1,Energy,0,0.333392,0.009361,0
AMAT,CY2023Q1,Information Technology,0,0.254786,0.019047,0
AMCR,CY2023Q1,Materials,0,0.048268,0.077761,0
AMD,CY2023Q1,Information Technology,0,-0.026154,0.029368,0
AMG,CY2023Q1,Financials,0,0.259954,1.181403,1
AMGN,CY2023Q1,Health Care,0,0.465356,0.229064,0
AMH,CY2023Q1,Real Estate,0,0.295359,0.065558,0
AMKR,CY2023Q1,Information Technology,0,0.030819,0.055374,0
AMN,CY2023Q1,Health Care,0,0.074683,0.002008,0
AMP,CY2023Q1,Financials,0,0.111438,0.065739,0
AMPH,CY2023Q1,Health Care,0,0.185914,0.065251,0
AMR,CY2023Q1,Materials,0,0.297147,0.029152,0
AMRX,CY2023Q1,Health Care,0,-0.012453,0.005347,0
AMSF,CY2023Q1,Financials,0,0.221054,0.03945,0
AMT,CY2023Q1,Real Estate,0,0.12135,0.374141,1
AMWD,CY2023Q1,Industrials,0,0.030638,0.020625,0
AMZN,CY2023Q1,Consumer Discretionary,0,0.024906,0.023043,0
AN,CY2023Q1,Consumer Discretionary,0,0.045119,0.002353,0
ANDE,CY2023Q1,Consumer Staples,0,-0.0038,0.00573,0
ANET,CY2023Q1,Communication Services,0,0.32299,0.011837,0
ANF,CY2023Q1,Consumer Discretionary,0,0.031949,0.034465,0
ANIP,CY2023Q1,Health Care,0,0.013476,0.058503,0
AON,CY2023Q1,Financials,0,0.271248,0.061344,0
AORT,CY2023Q1,Health Care,0,-0.162588,0.189906,0
AOS,CY2023Q1,Industrials,0,0.131312,0.25961,1
AOSL,CY2023Q1,Information Technology,0,-0.14263,0.173494,0
APAM,CY2023Q1,Financials,0,0.216422,0.017255,0
APD,CY2023Q1,Utilities,0,0.137433,0.042804,0
APG,CY2023Q1,Industrials,0,0.009294,0.002834,0
APH,CY2023Q1,Information Technology,0,0.14768,0.008995,0
APLE,CY2023Q1,Consumer Discretionary,0,0.105707,0.097978,0
APO,CY2023Q1,Financials,0,0.19053,0.058326,0
APOG,CY2023Q1,Industrials,0,0.058767,0.005839,0
APP,CY2023Q1,Information Technology,0,-0.006315,0.1069,0
APPF,CY2023Q1,Information Technology,0,-0.257972,0.099175,0
APTV,CY2023Q1,Consumer Discretionary,0,0.033624,0.02004,0
AR,CY2023Q1,Energy,0,0.1957,0.221838,0
ARCB,CY2023Q1,Industrials,0,0.064446,0.032355,0
ARE,CY2023Q1,Real Estate,0,0.107387,0.030116,0
ARES,CY2023Q1,Financials,0,0.115618,0.009678,0
ARI,CY2023Q1,Real Estate,0,0.526281,0.607241,1
ARLO,CY2023Q1,Communication Services,0,-0.128329,0.058591,0
ARMK,CY2023Q1,Industrials,0,0.01431,0.004636,0
AROC,CY2023Q1,Utilities,0,0.071726,0.023944,0
ARW,CY2023Q1,Information Technology,0,0.031334,0.006143,0
ARWR,CY2023Q1,Health Care,0,0.332782,0.993496,1
ASB,CY2023Q1,Financials,0,0.315879,0.004353,0
